timestamp	step	train_acc
1649115947991	1	0.6440153121948242
1649115952612	3	0.6443101167678833
1649115956986	5	0.6446049809455872
1649115961552	7	0.6440153121948242
1649115965872	9	0.6450471878051758
1649115970367	11	0.6446049809455872
1649115974681	13	0.6444575190544128
1649115978986	15	0.6444575190544128
1649115983319	17	0.6451945900917053
1649115987659	19	0.6446049809455872
1649115992009	21	0.6454893946647644
1649115996381	23	0.6451945900917053
1649116000768	25	0.6450471878051758
1649116005103	27	0.6454893946647644
