timestamp	step	train/acc
1649105154431	1	0.6440153121948242
1649105158950	3	0.6443101167678833
1649105163235	5	0.6446049809455872
1649105167781	7	0.6440153121948242
1649105172092	9	0.6450471878051758
1649105176276	11	0.6446049809455872
1649105180592	13	0.6444575190544128
1649105184878	15	0.6444575190544128
1649105189150	17	0.6451945900917053
1649105193495	19	0.6446049809455872
1649105197806	21	0.6454893946647644
1649105202088	23	0.6451945900917053
1649105206380	25	0.6450471878051758
1649105210680	27	0.6454893946647644
