timestamp	step	train/loss
1649059865218	1	0.6580411791801453
1649059869753	3	0.6533342003822327
1649059874165	5	0.6503031253814697
1649059878702	7	0.6476057767868042
1649059882993	9	0.6477034687995911
1649059887277	11	0.6480820775032043
1649059891565	13	0.6408196687698364
1649059895855	15	0.6401317715644836
1649059900133	17	0.6408233046531677
1649059904405	19	0.6345383524894714
1649059908742	21	0.6424143314361572
1649059913039	23	0.6336261034011841
1649059917358	25	0.630822479724884
1649059921642	27	0.630082905292511
